,economy,time,EducationExpenditureTotal
0,ARG,YR2010,5.01971006393433
1,ARG,YR2011,5.29062986373901
2,ARG,YR2012,5.34582996368408
3,ARG,YR2013,5.43661022186279
4,ARG,YR2014,5.36144018173218
5,ARG,YR2015,5.77611017227173
6,ARG,YR2016,5.54548978805542
7,ARG,YR2017,5.45431995391846
8,ARG,YR2018,4.87773990631104
9,ARG,YR2019,4.77759981155396
10,ARG,YR2020,5.27964019775391
11,DZA,YR2010,
12,DZA,YR2011,
13,DZA,YR2012,7.63800001144409
14,DZA,YR2013,7.29199981689453
15,DZA,YR2014,7.31899976730347
16,DZA,YR2015,7.96299982070923
17,DZA,YR2016,7.3439998626709
18,DZA,YR2017,6.40199995040894
19,DZA,YR2018,6.32499980926514
20,DZA,YR2019,6.03700017929077
21,DZA,YR2020,7.04199981689453
22,ETH,YR2010,4.49659013748169
23,ETH,YR2011,5.48576021194458
24,ETH,YR2012,5.56678009033203
25,ETH,YR2013,4.4985499382019
26,ETH,YR2014,4.60201978683472
27,ETH,YR2015,5.15299987792969
28,ETH,YR2016,5.06199979782104
29,ETH,YR2017,5.49900007247925
30,ETH,YR2018,5.21999979019165
31,ETH,YR2019,4.48099994659424
32,ETH,YR2020,4.09100008010864
33,TZA,YR2010,4.54169988632202
34,TZA,YR2011,4.57800006866455
35,TZA,YR2012,4.23000001907349
36,TZA,YR2013,4.63800001144409
37,TZA,YR2014,3.38488006591797
38,TZA,YR2015,4.19500017166138
39,TZA,YR2016,4.10200023651123
40,TZA,YR2017,4.4305100440979
41,TZA,YR2018,3.69953989982605
42,TZA,YR2019,3.59699988365173
43,TZA,YR2020,3.23099994659424
44,UZB,YR2010,
45,UZB,YR2011,5.81876087188721
46,UZB,YR2012,6.02691507339478
47,UZB,YR2013,5.74190998077393
48,UZB,YR2014,5.71323013305664
49,UZB,YR2015,5.49499988555908
50,UZB,YR2016,5.41499996185303
51,UZB,YR2017,5.03299999237061
52,UZB,YR2018,4.83599996566772
53,UZB,YR2019,6.29500007629395
54,UZB,YR2020,4.94799995422363
55,VNM,YR2010,4.04593992233276
56,VNM,YR2011,3.7802300453186
57,VNM,YR2012,4.40817022323608
58,VNM,YR2013,4.52833986282349
59,VNM,YR2014,3.53999996185303
60,VNM,YR2015,3.41700005531311
61,VNM,YR2016,3.46906995773315
62,VNM,YR2017,3.41899991035461
63,VNM,YR2018,3.29537010192871
64,VNM,YR2019,3.08500003814697
65,VNM,YR2020,3.21700000762939
